id,name,route_code,route_name,lat,long
9000108,نطنز - کاشان (انتهاي آزادراه),214206,آزادراه نطنز - کاشان (کاشان),33.864144,51.5220165
9000109,,214209,جاده قديم مورچه‌خورت - نطنز (سه راهي مورچه خورت),33.1081689,51.4832747
9000110,,214210,قمصر - کاشان,33.8627542,51.4771378
9000111,,214211,کاشان - باد رود,33.870665,51.6393685
9000112,,214227,کاشان - نراق,34.0417074,50.959214
9000113,,214234,عوارضي آزادراه کاشان - قم (کاشان1)(مجموع گيت ها),33.95820169,51.35522974
9000114,,214239,آزادراه کاشان - نطنز (متناظر توزين),33.8377342,51.5851772
9000115,,214240,کاشان - مشهد اردهال,34.0364442,51.1536312
9000116,,214241,کاشان - نراق (مرز استان),34.0365153,51.0268807
9000117,قم - کاشان (ابتداي آزادراه),214252,آزادراه قم - کاشان (مشکات - کاشان),34.1718315,51.2590742
9000118,,214254,اردستان - باد رود,33.5702915,52.1727419
9000119,نطنز - کاشان (ابتداي آزادراه),214255,آزادراه نطنز - کاشان (کاشان),33.5544137,51.9755459
9000120,کاشان - نطنز (انتهاي آزادراه),214256,آزادراه کاشان - نطنز (کاشان),33.5544137,51.9755459
9000121,,214259,جاده قديم نطنز - مورچه‌خورت (سه راهي مورچه خورت),33.1081689,51.4832747
9000122,,214260,کاشان - قمصر,33.8627542,51.4771378
9000123,,214261,باد رود - کاشان,33.870665,51.6393685
9000124,,214277,نراق - کاشان,34.0417074,50.959214
9000125,,214284,عوارضي آزادراه قم - کاشان (کاشان1)(مجموع گيت ها),33.95820169,51.35522974
9000126,,214289,آزادراه نطنز - کاشان,33.8377342,51.5851772
9000127,,214290,مشهد اردهال - کاشان,34.0364442,51.1536312
9000128,,214291,نراق - کاشان (مرز استان),34.0365153,51.0268807
3728477,جاده قديم کاشان - قم (کاشان - سن سن),214301,جاده قديم کاشان - قم (کاشان - سن سن),34.247353,51.260005
3728478,جاده قديم قم - کاشان (سن سن - کاشان),214351,جاده قديم قم - کاشان (سن سن - کاشان),34.247353,51.260005
3728479,گلپايگان - خمين,214401,گلپايگان - خمين,33.572388,50.263212
9000129,,214402,گلپايگان - سه راه موته,33.5722224,50.6296885
3728481,خمين - گلپايگان,214451,خمين - گلپايگان,33.572388,50.263212
9000130,,214452,سه راه موته - گلپايگان,33.5722224,50.6296885
9000131,,214501,اصفهان - نجف‌آباد (فولادشهر - نجف‌آباد),32.5350915,51.3860607
9000132,,214502,اصفهان - مبارکه,32.3910148,51.6285968
3728484,زرين‌شهر - سفيددشت,214503,زرين‌شهر - سفيددشت,32.250022,51.321227
9000133,عوارضي زرين شهر - نجف آباد ,214511,آزادراه زرين‌شهر - نجف‌آباد,32.5098341,51.3561165
9000134,,214521,فولادشهر - ديزيچه,32.4501,51.5062237
9000135,,214551,نجف‌آباد - اصفهان (نجف‌آباد - فولادشهر),32.5350915,51.3860607
9000136,,214552,مبارکه - اصفهان,32.3910148,51.6285968
3728488,سفيددشت - زرين‌شهر,214553,سفيد دشت - ورناخواست (زرين شهر) ,32.250022,51.321227
9000137,عوارضي جف آباد  - زرين شهر,214561,آزادراه نجف‌آباد - زرين‌شهر,32.5098341,51.3561165
9000138,,214571,ديزيچه - فولادشهر,32.4501,51.5062237
3728491,انارک - خور (سه‌راهي جندق - خور),214602,انارک - خور (سه‌راهي جندق - خور),33.742775,54.469709
3728492,انارک - جندق (جندق - سه‌راه جندق),214603,انارک - جندق (جندق - سه‌راه جندق),33.751111,54.456503
9000139,,214604,نايين - انارک,33.0715486,53.4044123
3728494,نائين - عقدا (نائين) (متناظر توزين),214607,نائين - عقدا (نائين) (متناظر توزين),32.731231,53.262775
9000140,,214635,بهارستان - نيک آباد,32.4270646,52.0158863
9000141,,214641,بهارستان - نيك آباد,32.4270646,52.0158863
9000142,,214642,نائين - سجزي (جنب توزين),32.7163162,52.3912668
3728497,خور - انارک (خور - سه‌راهي جندق),214652,خور - انارک (خور - سه‌راهي جندق),33.742222,54.470556
3728498,جندق - انارک (سه‌راه جندق - جندق),214653,جندق - انارک,33.751111,54.456503
9000143,,214654,انارک - نايين,33.0715486,53.4044123
3728500,عقدا - نائين (نائين),214657,عقدا - نائين (نائين),32.731231,53.262775
9000144,,214685,نيک آباد - بهارستان,32.4270646,52.0158863
9000145,,214691,نيك آباد - بهارستان,32.4270646,52.0158863
9000146,,214692,سجزي - نائين,32.7163162,52.3912668
9000147,,214701,نجف آباد - تيران,32.6578577,51.2622392
9000148,کمربندي خميني شهر - نجف آباد,214702,خميني‌شهر - نجف‌آباد,32.675867,51.4355421
9000149,علويجه - گلپايگان (علويجه),214703,علويجه - دهق,33.0957841,50.9748888
9000150,دهق - گلپايگان (خنداب),214709,دهق - گلپايگان,33.1501098,50.8625847
9000151,,214711,دهق - گلپايگان(خنداب),33.1284276,50.8994356
9000152,,214712,اصفهان - نجف‌آباد (فولادشهر - نجف‌آباد),32.5350915,51.3860607
9000153,,214751,تيران - نجف آباد,32.6578577,51.2622392
9000154,,214752,نجف آباد - کمربندي خميني شهر,32.675867,51.4355421
9000155,گلپايگان - علويجه (علويجه),214753,دهق - علويجه,33.0957841,50.9748888
9000156,,214759,گلپايگان - دهق (خنداب),33.1501098,50.8625847
9000157,,214761,گلپايگان - دهق (خنداب),33.1501098,50.8625847
9000158,,214762,نجف‌آباد - اصفهان (نجف‌آباد - فولادشهر),32.5350915,51.3860607
3728513,تيران - سامان (تيران),214801,تيران - سامان,32.690669,51.135573
9000159,,214808,تيران - داران (سه راهي دامنه),33.0373055,50.503571
3728515,سامان - تيران (تيران),214851,سامان - تيران (تيران),32.690669,51.135573
9000160,,214858,داران - تيران (سه راهي دامنه),33.0373055,50.503571
9000161,,214901,آزادراه نطنز - اصفهان (عوارضي اصفهان),33.00835618,51.50665449
9000162,,214902,آزادراه نطنز - اصفهان (نطنز),33.4824087,51.9839895
9000163,بادرود - کاشان,214903,اردستان - کاشان (موغار),33.5618523,52.1849513
9000164,,214905,نطنز - ابيانه,33.6140832,51.7299628
9000165,,214916,عوارضي آزادراه نطنز - کاشان (کاشان2)(مجموع گيت ها),33.8850908,51.47770558
9000166,اصفهان - نطنز (ابتداي آزادراه),214951,آزادراه اصفهان - نطنز (عوارضي اصفهان),33.00835618,51.50665449
9000167,اصفهان - نطنز (انتهاي آزادراه),214952,آزادراه اصفهان - نطنز (نطنز),33.4824087,51.9839895
9000168,کاشان - بادرود,214953,کاشان - اردستان (موغار),33.5618523,52.1849513
9000169,,214955,ابيانه - نطنز,33.6140832,51.7299628
9000170,,214966,عوارضي آزادراه کاشان - نطنز (کاشان2)(مجموع گيت ها),33.8850908,51.47770558
3728523,ميمه - دليجان (ميمه),215101,ميمه - دليجان,33.497854,51.118156
9000171,شاهين‌شهر - مورچه‌خورت (بزرگراه آزادگان),215102,شاهين شهر - مورچه خورت,32.9630905,51.5062451
9000172,,215103,مورچه خورت - نجف آباد (آزادراه شهيد کاظمي),32.9043078,51.4056623
9000173,شاهين شهر - اصفهان (آزاد راه معلم) ,215104,آزادراه شاهين‌شهر - اصفهان (آزادراه معلم),32.764867,51.5501904
9000174,,215108,مورچه‌خورت - ميمه (سه راهي نطنز - مورچه خورت),33.10319,51.4633083
9000175,,215115,مورچه خورت - شاهين شهر,32.9630905,51.5062451
3728529,دليجان - ميمه (ميمه),215151,دليجان - ميمه,33.497854,51.118156
9000176,,215152,مورچه‌خورت - شاهين‌شهر (بزرگراه آزادگان),32.9630905,51.5062451
9000177,,215153,نجف آباد - مورچه خورت (آزادراه شهيد کاظمي),32.9043078,51.4056623
9000178,,215154,آزادراه اصفهان - شاهين‌شهر (آزادراه معلم),32.764867,51.5501904
9000179,,215158,ميمه - مورچه‌خورت (سه راهي نطنز - مورچه خورت),33.10319,51.4633083
9000180,,215165,شاهين شهر - مورچه خورت (متناظر توزين),32.9630905,51.5062451
9000181,,215201,شهرضا - طالخونچه,32.1448042,51.6605473
9000182,,215203,اصفهان - شهرضا (سه‌راهي مبارکه),32.4098205,51.7640162
3728537,مبارکه - بروجن (قمشلو),215205,مبارکه - بروجن (قمشلو),32.086932,51.453528
9000183,,215251,طالخونچه - شهرضا,32.1448042,51.6605473
9000184,,215253,شهرضا - اصفهان (سه‌راهي مبارکه),32.4098205,51.7640162
3728540,بروجن - مبارکه (قمشلو),215255,بروجن - مبارکه (قمشلو),32.086932,51.453528
9000185,,215301,چادگان - داران,32.8841282,50.5211234
9000186,,215302,تيران - چادگان (سه راهي سد زاينده‌رود),32.8101453,50.7549906
9000187,,215303,چادگان - چلگرد(مشهد کاوه),32.7244038,50.5157804
9000188,,215351,داران - چادگان,32.8841282,50.5211234
9000189,,215352,چادگان - تيران (سه‌راهي سد زاينده‌رود),32.8101453,50.7549906
9000190,,215353,چلگرد - چادگان(مشهد کاوه),32.7244038,50.5157804
3728547,تبريز - صوفيان,263101,تبريز - صوفيان,38.22857,46.0584
3728548,ايلخچي - آذرشهر,263102,ايلخچي - آذرشهر,37.870615,45.940901
3728549,تبريز - جزيره اسلامي,263103,تبريز - جزيره اسلامي,37.899308,45.898606
3728550,آزادراه تبريز - زنجان (بستان‌آباد - هشترود),263104,آزادراه تبريز - زنجان (بستان‌آباد - هشترود),37.757624,46.848607
